"","","","1993","2000","2010","2020"
"","","","Value","Value","Value","Value"
"Germany","Use per area of cropland","Pesticides (total)","2.11","2.93","3.39","4.07"
"Ghana","Use per area of cropland","Pesticides (total)","0.01","0.01","0.21","1.31"
"Greece","Use per area of cropland","Pesticides (total)","2.25","2.76","1.51","1.54"
"Grenada","Use per area of cropland","Pesticides (total)","10.93","8.93","11.44","15.73"
"Guam","Use per area of cropland","Pesticides (total)","1.55","1.55","1.01","12.01"
"Guatemala","Use per area of cropland","Pesticides (total)","6.39","4.25","6.03","5.2"
"Guinea","Use per area of cropland","Pesticides (total)","0.01","0.07","0.15","0.03"
"Guinea-Bissau","Use per area of cropland","Pesticides (total)","0.06","0.08","0.15","0.15"
"Guyana","Use per area of cropland","Pesticides (total)","0.25","1.54","1","2.03"
"Haiti","Use per area of cropland","Pesticides (total)","0.09","0.31","0.69","0.6"
"Honduras","Use per area of cropland","Pesticides (total)","3.36","3.07","3.83","7.35"
"Hungary","Use per area of cropland","Pesticides (total)","2.05","0.86","2.25","2.07"
"Iceland","Use per area of cropland","Pesticides (total)","0.02","0.03","0.02","0.01"
"India","Use per area of cropland","Pesticides (total)","0.39","0.26","0.24","0.37"
"Indonesia","Use per area of cropland","Pesticides (total)","4.19","3.96","7.07","4"
"Iran (Islamic Republic of)","Use per area of cropland","Pesticides (total)","0.51","0.58","0.26","0.33"
"Iraq","Use per area of cropland","Pesticides (total)","0.12","0.12","0.18","0.05"
"Ireland","Use per area of cropland","Pesticides (total)","4.95","3.96","5.74","6.54"
"Israel","Use per area of cropland","Pesticides (total)","5.77","8.16","18.21","14.51"
"Italy","Use per area of cropland","Pesticides (total)","7.85","7.04","7.44","6.03"
"Jamaica","Use per area of cropland","Pesticides (total)","4.44","5.52","5.38","9.86"
"Japan","Use per area of cropland","Pesticides (total)","15.58","16.53","12.1","11.18"
"Jordan","Use per area of cropland","Pesticides (total)","2.63","1.99","3.58","4.1"
"Kazakhstan","Use per area of cropland","Pesticides (total)","0.49","0.1","0.22","0.49"
"Kenya","Use per area of cropland","Pesticides (total)","0.26","0.37","0.46","0.97"
"Kiribati","Use per area of cropland","Pesticides (total)","0.08","0.12","0.29","1.01"
"Kyrgyzstan","Use per area of cropland","Pesticides (total)","1.55","0.48","0.26","0.51"
"Lao People's Democratic Republic","Use per area of cropland","Pesticides (total)","0.05","0","0","0.14"
